,Title,Developer,Platform(s),Release Date,Highest Metacritic Score
84,"Evil Within 2, The",Tango Gameworks,"PS4, WIN, XONE",2017-10-13,82
85,Exteel,NCsoft,WIN,2008-10-28,
86,Fade to Black,Delphine Software International,"DOS, PS1",1995-08-31,
87,Fracture,Day 1 Studios,"PS3, X360",2008-10-07,
88,Freedom Fighters,IO Interactive,"GCN, PS2, WIN, Xbox",2003-09-26,83
89,James Bond 007: From Russia with Love,Electronic Arts,"GCN, PS2, PSP, Xbox",2005-11-01,
90,JJ,Square,NES,1987-12-07,
91,Fortnite,Epic Games,"PC, PS4, PS3, XONE, X360, Nintendo Switch, OSX",2017-07-27,
92,Fur Fighters,Bizarre Creations,"DC, PS2, WIN",2000-09-23,80
93,Future Cop: LAPD,Electronic Arts,"MAC, PS1, PSN, WIN",1998-08-31,
94,Galaxy Game 2,"Bill Pitts, Hugh Tuck",ARC,1971-11,
95,Gangs of London,Team Soho,PSP,2006-09-01,
96,Gears of War,Epic Games,"WIN, X360",2006-11-09,94
97,Gears of War 2,Epic Games,X360,2008-11-07,93
98,Gears of War 3,Epic Games,X360,2011-09-20,91
99,Gears of War: Judgment,Epic Games,X360,2013-03-19,
100,Gears of War: Ultimate Edition,The Coalition,"WIN, XONE",2015-08-25,
101,Gears of War 4,The Coalition,"WIN, XONE",2016-10-11,86
102,Gears 5,The Coalition,"WIN, XONE",2019-09-10,84
103,"Getaway, The",Team Soho,PS2,2002-12-11,72
104,"Getaway: Black Monday, The",Team Soho,PS2,2004-11-12,
105,Ghetto Golf,Unreal Engine 3,"WIN, PS3, X360",TBA,
106,Ghostbusters: The Video Game,Terminal Reality,"DS, PS3, PS2, PSP, X360, Wii, WIN",2009-06-16,
107,Ghost Recon Advanced Warfighter 2,Red Storm Entertainment,"PS3, PSP, WIN, X360",2007-03-06,86
108,Ghost Recon Advanced Warfighter,Ubisoft Paris,"PS2, WIN, X360, Xbox",2006-03-07,90
109,Ghost in the Shell,"Exact Co., Ltd.",PS1,1997-07-17,
110,Giants: Citizen Kabuto,Planet Moon Studios,"PS2, OSX, WIN",2002-02-07,85
111,Global Agenda,Hi-Rez Studios,WIN,2010-02-01,
112,Global Defence Force,Sandlot,"PS2, PSP, PSV",2005-07-28,72
113,"Godfather, The",EA Games,"MOBI, PS3, PS2, PSP, Wii, WIN, X360, Xbox",2006-03-21,
114,"Godfather II, The",EA Games,"PS3, WIN, X360",2009-04-07,
115,Gunslinger Stratos,Taito   Square Enix,Arcade,2012-07-12,
116,Gunslinger Stratos 2,Taito   Square Enix,Arcade,2013-11-07,
117,GunValkyrie,Smilebit,Xbox,2002-03-30,73
118,GunZ: The Duel,MAIET Entertainment,WIN,2006-11-01,
119,Gundam Seed: Rengou vs. Z.A.F.T.,Capcom,"Arcade, PS2, PSP",2005-01-01,
120,Gungage,Konami,PS1,1999-06-03,
121,Gungrave,Red Entertainment,PS2,2002-09-16,65
122,Gungrave: Overdose,Inkusabune,PS2,2004-03-04,
123,Guns and Robots,Masthead Studios,WIN,2014-08-04,
124,Heavy Metal: F.A.K.K.²,Ritual Entertainment,"LIN, MAC, OSX, WIN",2000-08-02,78
125,Heretic II,Raven Software,"AMI, LIN, MAC, WIN",1998-10-31,
126,Higurashi Daybreak,Twilight Frontier,"PSP, WINNT",2006-08-13,
127,Hybrid,5TH Cell,XBLA,2012-08-08,
128,Infected,Planet Moon Studios,PSP,2005-12-15,
129,Infernal,Metropolis Software,"WIN, X360",2007-05-08,
130,Inversion,Saber Interactive,"WIN, PS3, X360",2012-06-05,
131,Iron Man (video game),"Secret Level (Xbox 360, PS3), Artificial Mind and Movement (Wii, PS2, PSP, NDS, PC)","PS3, X360, PS2, PSP, DS, Wii, WIN",2008-05-02,
132,James Bond 007: Everything or Nothing,EA Canada,"GBA, GCN, PS2, Xbox",2003-11-17,84
133,Jet Force Gemini,Rare,N64,1999-10-11,80
134,Just Cause,Avalanche Studios,"PS2, X360, Xbox, WIN",2006-09-22,
135,Just Cause 2,Avalanche Studios,"PS3, X360, WIN",2010-03-23,84
136,Kane Lynch: Dead Men,IO Interactive,"MOBI, PS3, WIN, X360",2007-11-14,
137,Kid Icarus: Uprising,Project Sora,3DS,2012-03-22,83
138,Kill Switch,Namco USA,"PS2, Xbox, GBA",2003-10-28,75
139,Last Survivor,Sega,"Arcade, FMT",1989-??-??,
140,Lost Planet,Capcom,"PS3, X360, WIN",2006-12-26,79
141,Lost Planet 2,Capcom,"PS3, X360, WIN",2010-05-11,68
142,Lost Planet 3,Capcom,"PS3, X360, WIN",2013-08-27,61
143,Loadout,Edge of Reality,WIN,2014-01-31,
144,Love Destroy,"Arc Entertainment , Inti Creates",PS1,1999-12-16,
145,MDK,Shiny Entertainment,"DOS, PS1, WIN",1997-05-31,
146,MDK2,BioWare,"DC, PS2, WIN",2000-03-31,83
147,Mass Effect,BioWare,"PS4, WIN, X360",2007-11-20,91
148,Mass Effect 2,BioWare,"PS3, WIN, X360",2010-01-26,96
149,Mass Effect 3,BioWare,"PS3, WIN, X360",2012-03-06,93
150,Mass Effect: Andromeda,BioWare,"PS4, WIN, XONE",2017-03-21,
151,Made Man,SilverBack Studios,"PS2, WIN",2006-11-06,
152,Mafia,Illusion Softworks,"WIN, PS2, X360",2002-08-28,88
153,Mafia II,2K Czech,"WIN, PS3, X360, OSX",2010-08-24,77
154,Mafia III,Hangar 13,"WIN, PS3, X360, OSX",2020-10-06,68
155,Mafia: Definitive Edition,Hangar 13,"WIN, PS3, X360",2020-09-25,79
156,Mageslayer,Raven Software,WIN,1997-09-30,
157,"Matrix: Path of Neo, The",Shiny Entertainment,"PS2, WIN, Xbox",2005-11-08,
158,Max Payne,3D Realms,"GBA, MAC, PS2, WIN, X360, Xbox",2001-07-23,89
159,Max Payne 2: The Fall of Max Payne,3D Realms,"PS2, WIN, X360, Xbox",2003-10-15,86
160,Max Payne 3,Rockstar Games,"PS3, X360, PC",2012-05-15,87
161,Mercenaries: Playground of Destruction,Pandemic Studios,"PS2, Xbox",2005-01-11,
162,Mercenaries 2: World in Flames,Pandemic Studios,"PS3, PS2, WIN, X360",2008-08-31,
163,Messiah,Shiny Entertainment,WIN,2000-03-31,
164,Metal Arms: Glitch in the System,Swingin' Ape Studios,"GCN, PS2, X360, Xbox",2003-11-18,83
165,Metal Slug,SNK Playmore,PS2,2006-06-29,
166,Metal Wolf Chaos,From Software,Xbox,2004-01-01,
167,Miami Vice: The Game,Rebellion Developments,PSP,2006-08-31,
168,Mission: Impossible,Ocean Software,"PS1, N64",1998-07-18,61
169,Mission: Impossible – Operation Surma,Paradigm Entertainment,"GBA, GCN, PS2, Xbox",2003-12-02,67
170,Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II,Capcom,"Arcade, PS2",2006-01-01,
171,Mobile Suit Gundam: Gundam vs. Zeta Gundam,Capcom,"GCN, PS2",2004-12-09,
172,NAM-1975 1,SNK,"ARC, NEO, NEOCD, VC",1990-04-??,
173,Nanosaur,Pangea Software,"MAC, WIN",1998-01-01,
174,Nemesis Strike,Asobo Studio S.A.R.L.,"PS2, WIN, Xbox",2005-03-22,
175,Oddworld: Stranger's Wrath,Oddworld Inhabitants,"PS3, WIN, Xbox",2005-01-25,88
176,Oni,Bungie,"MAC, WIN, OSX, PS2",2001-01-29,73
177,"Order: 1886, The","Ready at Dawn , Sony Computer Entertainment",PS4,2015-02-20,
178,"Outfit, The",Relic Entertainment,X360,2006-03-13,
179,Outwars,SingleTrac,WIN,1998-04-01,
180,P.N.03,Capcom,GCN,2003-03-27,63
181,Paragon,Epic Games,"WIN, PS4",Cancelled,
182,Plants vs. Zombies Garden Warfare,PopCap Games,"PS3, PS4, X360, X1, WIN",2014-02-25,
183,Plants vs. Zombies Garden Warfare 2,PopCap Games,"WIN, PS4, XONE",2016-2-23,
184,Plants vs. Zombies: Battle for Neighborville,PopCap Games,"WIN, PS4, XONE",2019-10-18,77
185,Project Eden,Core Design,"PS2, WIN",2001-10-08,72
186,Psi-Ops: The Mindgate Conspiracy,Midway Games,"PS2, WIN, Xbox",2004-06-14,
187,"Punisher, The",Volition,"MOBI, PS2, WIN, Xbox",2005-01-18,
188,Quantum Break,Remedy Entertainment,"XONE, WIN",2016-04-05,
189,Radar Scope 3,Nintendo,ARC,1979-12,
190,Ratchet: Deadlocked,Insomniac Games,PS2,2005-10-25,81
191,Ratchet Clank,Insomniac Games,PS2,2002-11-04,88
192,Ratchet Clank: All 4 One,Insomniac Games,PS3,2011-10-18,70
193,Ratchet Clank Future: A Crack in Time,Insomniac Games,PS3,2009-10-27,87
194,Ratchet Clank Future: Quest for Booty,Insomniac Games,PS3,2008-08-21,76
195,Ratchet Clank Future: Tools of Destruction,Insomniac Games,PS3,2007-10-23,89
196,Ratchet Clank: Going Commando,Insomniac Games,PS2,2003-11-11,90
197,Ratchet Clank: Into the Nexus,Insomniac Games,PS3,2013-11-06,76
198,Ratchet Clank: Size Matters,High Impact Games,PSP,2007-02-13,85
199,Ratchet Clank (2016 video game),Insomniac Games,PS4,2016-04-12,85
200,Ratchet Clank: Up Your Arsenal,Insomniac Games,PS2,2004-11-03,91
201,Re-Mission,Realtime Associates,WIN,2006-04-03,
202,Red Dead Revolver,Rockstar San Diego,"PS2, Xbox",2004-05-03,
203,Red Dead Redemption,Rockstar San Diego,"PS3, X360",2010-05-18,95
204,Red Dead Redemption 2,Rockstar Games,"PS4, Xbox One, WIN",2018-10-26,97
205,Red Faction: Guerrilla,Volition,"PS3, WIN, X360",2009-06-05,
206,Red Faction: Armageddon,Volition,"PS3, WIN, X360",2011-06-07,
207,Renegade X,Totem Arts,WIN,2014-02-26,
208,Reservoir Dogs,Volatile Games,"PS2, WIN, Xbox",2006-10-24,
209,Resident Evil 2 (Remake),Capcom,"PS4, WIN, XONE",2019-01-25,93
210,Resident Evil 3 (Remake),Capcom,"PS4, WIN, XONE",2020-04-03,84
211,Resident Evil 4,Capcom,"DROI, GCN, iOS, NX, PS2, PS3, PS4, Wii, WIN, X360, XONE",2005-01-11,96
212,Resident Evil 5,Capcom,"NX, PS3, PS4, WIN, X360, XONE",2009-03-05,86
213,Resident Evil 6,Capcom,"NX, PS3, PS4, WIN, X360, XONE",2012-10-02,74
